Cluster,1033 Output,Correct,Ground Truth,Accuracy
0,3033,957.0,1221.0,0.7837837837837838
1,6827,1220.0,1413.0,0.8634111818825194
2,3602,393.0,1168.0,0.336472602739726
3,1551,1087.0,1201.0,0.9050791007493755
4,2040,222.0,891.0,0.24915824915824916
5,1145,810.0,1011.0,0.8011869436201781
6,3240,193.0,854.0,0.2259953161592506
