Cluster,1033 Output,Correct,Ground Truth,Accuracy
0,3071,956.0,1221.0,0.782964782964783
1,6837,1198.0,1413.0,0.8478414720452937
2,4266,276.0,1168.0,0.2363013698630137
3,1348,1136.0,1201.0,0.9458784346378019
4,1733,233.0,891.0,0.2615039281705948
5,823,871.0,1011.0,0.8615232443125618
6,3250,201.0,854.0,0.23536299765807964
