Cluster,1033 Output,Correct,Ground Truth,Accuracy
0,482,0.0,1193.0,0.0
1,1656,721.0,761.0,0.9474375821287779
2,4257,543.0,1080.0,0.5027777777777778
3,2259,421.0,776.0,0.5425257731958762
4,2621,1200.0,1211.0,0.990916597853014
5,2591,460.0,1160.0,0.39655172413793105
6,6346,1477.0,1578.0,0.9359949302915083
