Cluster,1033 Output,Correct,Ground Truth,Accuracy
0,801,0.0,1193.0,0.0
1,1572,747.0,761.0,0.9816031537450722
2,4413,524.0,1080.0,0.48518518518518516
3,2215,436.0,776.0,0.5618556701030928
4,3661,1201.0,1211.0,0.9917423616845582
5,2512,506.0,1160.0,0.4362068965517241
6,6348,1461.0,1578.0,0.9258555133079848
